"CAR PARK NO   ";"BLOCK NO                                ";"STREET NAME                             ";"X COORD   ";"Y COORD   ";"CAR PARK TYPE                                               ";"TYPE OF PARKING SYSTEM                                      ";"SHORT TERM PARKING                                          ";"FREE PARKING                                                ";"NIGHT PARKING                                               ";"PARK & RIDE SCHEME,,,,,"
"ACB  ";"BLK 270/271                             ";"ALBERT CENTRE BASEMENT CAR PARK         ";"30314.7936";"31490.4942";"BASEMENT CAR PARK                                           ";"ELECTRONIC PARKING                                          ";"WHOLE DAY                                                   ";"NO                                                          ";"YES                                                         ";"NO,,,,,"
"ACM  ";"BLK 96-98                               ";"BLK 98A ALJUNIED CRESCENT               ";"33751.1345";"33693.3033";"MULTI-STOREY CAR PARK                                       ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"AH1  ";"BLK 101                                 ";"JALAN DUSUN                             ";"29255.6348";"34497.0508";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"AK19 ";"253                                     ";"ANG MO KIO STREET 21                    ";"28185.4359";"39012.6664";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"7AM-7PM                                                     ";"NO                                                          ";"NO                                                          ";"NO,,,,,"
"AK31 ";"BLK 302/348                             ";"ANG MO KIO ST 31                        ";"29482.0290";"38684.1754";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"NO                                                          ";"NO                                                          ";"NO                                                          ";"NO,,,,,"
"AK52 ";"OPPOSITE BLOCK 513                      ";"ANG MO KIO ST 53                        ";"29889.3457";"39382.8134";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"NO                                                          ";"YES                                                         ";"NO,,,,,"
"AK6  ";"-                                       ";"ANG MO KIO AVE 6                        ";"29283.7324";"39647.8906";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"7AM-10.30PM                                                 ";"SUN & PH FR 7AM-10.30PM                                     ";"NO                                                          ";"NO,,,,,"
"AK83 ";"BLK 5022 TO 5095                        ";"ANG MO KIO INDUSTRIAL PARK 2            ";"31397.2241";"39851.6191";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"NO                                                          ";"NO                                                          ";"NO                                                          ";"NO,,,,,"
"AK9  ";"-                                       ";"ANG MO KIO AVENUE 9                     ";"29674.8184";"40616.8750";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"NO                                                          ";"NO                                                          ";"NO                                                          ";"NO,,,,,"
"AM16 ";"BLK 256A                                ";"ANG MO KIO STREET 21                    ";"28267.0582";"39151.8344";"MULTI-STOREY CAR PARK                                       ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"AM18 ";"308C                                    ";"ANG MO KIO AVE 1                        ";"29254.0480";"38615.2030";"MULTI-STOREY CAR PARK                                       ";"COUPON PARKING                                              ";"7AM-10.30PM                                                 ";"NO                                                          ";"NO                                                          ";"NO,,,,,"
"AM20 ";"BLK 309B                                ";"ANG MO KIO ST 31                        ";"29418.8569";"38520.4243";"MULTI-STOREY CAR PARK                                       ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"AM22 ";"BLK 316B                                ";"ANG MO KIO STREET 31                    ";"29594.0736";"38505.7991";"MULTI-STOREY CAR PARK                                       ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"AM32 ";"BLK 255A                                ";"ANG MO KIO ST 21                        ";"28117.7689";"39172.0389";"MULTI-STOREY CAR PARK                                       ";"COUPON PARKING                                              ";"7AM-10.30PM                                                 ";"NO                                                          ";"NO                                                          ";"NO,,,,,"
"AM46 ";"BLK 588                                 ";"ANG MO KIO STREET 52                    ";"30234.4145";"39354.0323";"MULTI-STOREY CAR PARK                                       ";"ELECTRONIC PARKING                                          ";"7AM-10.30PM                                                 ";"NO                                                          ";"NO                                                          ";"NO,,,,,"
"AM51 ";"BLK 700                                 ";"ANG MO KIO AVE 6                        ";"29489.0250";"39103.7605";"MULTI-STOREY CAR PARK                                       ";"ELECTRONIC PARKING                                          ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"AM79 ";"BLK 596                                 ";"ANG MO KIO STREEET 52                   ";"30011.8783";"39373.9195";"MULTI-STOREY CAR PARK                                       ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"AM80 ";"BLK 130A                                ";"ANG MO KIO ST 12                        ";"28950.7223";"39184.6976";"MULTI-STOREY CAR PARK                                       ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"AM81 ";"BLK 132A                                ";"ANG MO KIO ST 12                        ";"28960.3285";"39294.4158";"MULTI-STOREY CAR PARK                                       ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"AM96 ";"BLK 352A                                ";"ANG MO KIO STREET 32                    ";"29956.5794";"38450.8198";"MULTI-STOREY CAR PARK                                       ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"AR1M ";"BLK 2A                                  ";"DOVER ROAD                              ";"22473.6825";"31683.6557";"MULTI-STOREY CAR PARK                                       ";"ELECTRONIC PARKING                                          ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"AR2M ";"BLK 28                                  ";"DOVER CRESCENT                          ";"22248.1245";"31888.2133";"MULTI-STOREY CAR PARK                                       ";"ELECTRONIC PARKING                                          ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"AR5M ";"BLK 19A                                 ";"DOVER CRESCENT                          ";"22556.8154";"32176.3079";"MULTI-STOREY CAR PARK                                       ";"ELECTRONIC PARKING                                          ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"AR6  ";"BLK 29-39                               ";"DOVER ROAD                              ";"22440.6133";"31257.8848";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"AR7M ";"BLK 12A                                 ";"DOVER CLOSE EAST                        ";"22642.8795";"31892.7836";"MULTI-STOREY CAR PARK                                       ";"ELECTRONIC PARKING                                          ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"AR9  ";"BLK 20/22/23                            ";"DOVER CRESCENT                          ";"22433.8995";"32135.7854";"SURFACE CAR PARK                                            ";"ELECTRONIC PARKING                                          ";"7AM-10.30PM                                                 ";"SUN & PH FR 7AM-10.30PM                                     ";"NO                                                          ";"NO,,,,,"
"AV1  ";"BLK 120/120A/121-127                    ";"ALEXANDRA VILLAGE                       ";"24649.7520";"29778.7266";"SURFACE CAR PARK                                            ";"ELECTRONIC PARKING                                          ";"WHOLE DAY                                                   ";"NO                                                          ";"YES                                                         ";"NO,,,,,"
"AV1K ";"BLK 119                                 ";"BUKIT MERAH LANE 1                      ";"24819.5585";"29784.7993";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"AV2  ";"BLK 1001/1010                           ";"BUKIT MERAH LANE 1/3                    ";"24941.5778";"29704.4978";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"NO                                                          ";"YES                                                         ";"NO,,,,,"
"A1   ";"BLK 215                                 ";"ANG MO KIO STREET 22                    ";"28934.1777";"38749.8516";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"A10  ";"BLK 201/202                             ";"ANG MO KIO STREET 22                    ";"29247.0300";"38962.0000";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"A11  ";"BLK 223/226/226A-226D                   ";"ANG MO KIO ST 22                        ";"28541.1400";"38785.3600";"SURFACE CAR PARK                                            ";"ELECTRONIC PARKING                                          ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"A12  ";"BLK 229/230                             ";"ANG MO KIO ST 22                        ";"28596.1400";"38948.3800";"SURFACE CAR PARK                                            ";"ELECTRONIC PARKING                                          ";"7AM-10.30PM                                                 ";"SUN & PH FR 7AM-10.30PM                                     ";"NO                                                          ";"NO,,,,,"
"A13  ";"BLK 232/233                             ";"ANG MO KIO ST 22                        ";"28388.5100";"38892.0300";"SURFACE CAR PARK                                            ";"ELECTRONIC PARKING                                          ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"A15  ";"BLK 226E-226H                           ";"ANG MO KIO ST 22                        ";"28790.0200";"38777.8500";"SURFACE CAR PARK                                            ";"ELECTRONIC PARKING                                          ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"A18  ";"BLK 247/249/250                         ";"ANG MO KIO ST 21                        ";"27981.3500";"38958.1500";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"A2   ";"BLK 206/207                             ";"ANG MO KIO STREET 22                    ";"29082.5900";"38697.0700";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"A20  ";"BLK 304/307/319                         ";"ANG MO KIO ST 31                        ";"29560.3869";"38550.5855";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"A21  ";"BLK 325/326/301                         ";"ANG MO KIO STREET 31                    ";"29446.1477";"38906.1139";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"7AM-10.30PM                                                 ";"SUN & PH FR 7AM-10.30PM                                     ";"NO                                                          ";"NO,,,,,"
"A23  ";"BLK 347A                                ";"ANG MO KIO AVENUE 3                     ";"29729.5500";"38818.1800";"MULTI-STOREY CAR PARK                                       ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"A24  ";"BLK 338/340                             ";"ANG MO KIO ST 32                        ";"29789.4100";"38533.0200";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"A25  ";"BLK 330/337                             ";"ANG MO KIO AVE 8                        ";"30010.7500";"38310.2200";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
